"Title: COVID-19 Vaccines Delivered and Administered | KFF"
"Timeframe: as of 2/24"
"Location","Total COVID-19 Vaccines Delivered","Total COVID-19 Vaccines Administered","Share of Delivered Vaccines That Have Been Administered","Number of People Who Have Been Vaccinated with At Least One Dose","Share of Population Vaccinated with At Least One Dose","Number of People Who Have Been Fully Vaccinated","Share of Population Fully Vaccinated"
"North Carolina","20,827,700","16,087,180","0.772","8,616,580","0.822","6,214,836","0.593"
"North Dakota","1,311,600","1,062,988","0.81","490,919","0.644","414,566","0.544"
"Ohio","21,898,055","17,195,084","0.785","7,343,557","0.628","6,724,932","0.575"
"Oklahoma","6,967,830","5,713,651","0.82","2,767,253","0.699","2,214,720","0.56"
"Oregon","9,499,285","7,424,941","0.782","3,241,951","0.769","2,892,814","0.686"
"Pennsylvania","28,729,125","22,046,766","0.767","10,653,120","0.832","8,559,178","0.669"
"Rhode Island","2,490,125","2,125,909","0.854","1,018,609","0.95","853,229","0.805"
"South Carolina","9,970,875","7,253,946","0.728","3,419,999","0.664","2,870,932","0.558"
"South Dakota","1,759,565","1,352,959","0.769","662,041","0.748","528,863","0.598"
"Tennessee","12,208,730","9,577,064","0.784","4,185,761","0.613","3,654,266","0.535"
"Texas","58,653,495","44,254,223","0.755","20,536,806","0.708","17,374,227","0.599"
"Utah","5,969,050","5,062,117","0.848","2,281,759","0.712","2,027,921","0.633"
"Vermont","1,695,750","1,344,313","0.793","579,333","0.928","499,883","0.801"
"Virginia","18,692,805","15,848,582","0.848","7,202,040","0.844","6,135,445","0.719"
"Washington","16,804,395","13,818,660","0.822","6,065,279","0.797","5,431,648","0.713"
"West Virginia","3,839,685","2,631,484","0.685","1,149,309","0.641","1,016,453","0.567"
"Wisconsin","11,050,945","9,846,287","0.891","4,133,936","0.71","3,754,939","0.645"
"Wyoming","931,585","730,002","0.784","335,348","0.579","292,555","0.505"
"American Samoa","92,810","86,358","0.93","42,660","0.9","38,167","0.805"
"Federated States of Micronesia","151,100","103,551","0.685","59,361","0.58","48,200","0.471"
"Guam","317,160","329,166","1.038","149,403","0.887","134,682","0.799"
"Marshall Islands","81,080","52,349","0.646","27,874","0.359","23,655","0.304"
"Northern Mariana Islands","121,430","105,571","0.869","45,022","0.868","42,743","0.824"
"Puerto Rico","7267790","6,895,718","0.94881","3037979","0.95","2594790","0.812"
"Republic of Palau","43990","46,408","1.05497","20228","0.939","17826","0.828"
"Virgin Islands","145460","139,733","0.96063","67425","0.634","55901","0.526"

"Notes"
"Data represent the total number of COVID-19 vaccines delivered and administered in each state and territory."
""
"U.S. total includes vaccines distributed to and administered by Indian Health Services, Veterans Health, the Bureau of Prisons, and the Department of Defense."

"Sources"
"Centers for Disease Control and Prevention, [COVID-19 Vaccinations in the United States](https://data.cdc.gov/Vaccinations/COVID-19-Vaccinations-in-the-United-States-Jurisdi/unsk-b7fc)."
""
"2020 Population data from Annual Population Estimates by State, U.S. Census Bureau; available [here](https://www.census.gov/programs-surveys/popest/technical-documentation/research/evaluation-estimates/2020-evaluation-estimates.html)."

"Definitions"
"*Vaccines delivered* are cumulative counts of COVID-19 vaccine doses reported to Operation Warp Speed as delivered since December 14, 2020. Doses distributed to the U.S. Virgin Islands, Palau, Micronesia, Marshall Islands, Guam, American Samoa, and Northern Marianas Islands include those marked as shipped in in CDC’s Vaccine Tracking System (VTrckS) since December 13, 2020. Doses distributed to a state or territory also include those distributed to pharmacies in the jurisdiction."
""
"*Vaccines administered* are cumulative counts of individual COVID-19 vaccine doses administered as reported to CDC by state, territory, and local public health agencies since December 14, 2020.  They include both first and second doses."
""
"*Number of people who have been vaccinated* represents the total number of people who have received at least one dose of vaccine."


