"Title: State COVID-19 Data and Policy Actions – Policy Actions | KFF"
"Timeframe: As of February 10, 2022"
"Location","Any Mandate in Place?","Description of Mandate or Prohibition","Filed Lawsuit Challenging Federal Vaccine Requirements?","Federal Vaccine Requirement(s) State Is Challenging",Footnotes
"United States","Yes (23);Prohibited (13); No (15)","","Yes (27); No (24)","Federal Contractors (27); Employers with 100+ Employees (27); Certified Medicare/Medicaid Providers (26)"
"New Hampshire","Prohibited","No person may be compelled to receive an immunization for COVID-19 in order to access public goods or facilities.","Yes","Federal Contractors; Employers with 100+ Employees; Certified Medicare and Medicaid Providers","1"
"New Jersey","Yes","Employees of healthcare facilities must be vaccinated against COVID-19 or undergo COVID-19 testing at least once per week effective 9/7/2021. State employees and pre-K-12 school personnel must be fully vaccinated against COVID-19 or be subject to COVID-19 testing at minimum one to two times per week effective 10/18/2021. New Jersey state contractors are mandated vaccination or weekly COVID-19 testing for all of their employeers. Health care and high-risk congegrate workers are required to obtain the booster shoot by 3/30/22. Testing option is no longer an option for healthcare and high congregate workers.","No",""
"New Mexico","Yes","State employees must provide proof of vaccination or undergo testing on a weekly basis and wear a mask while at work effective 8/2/2021. School employees must submit proof of vaccination or undergo weekly COVID-19 testing and wear a mask effective 8/23/2021. All hospital employees and employees of congregate care facilities must submit proof of vaccination or qualify for an exemption effective 8/30/2021. COVID-19 vaccination is required for all people attending the NM state fair unless they qualify for an exemption. All school workers and hospital workers are required to receive booster shots by 1/17/22.","No",""
"New York","Yes","All state employees must submit proof of COVID-19 vaccination or undergo weekly COVID-19 testing effective 9/5/2021. MTA and Port Authority employees are also required to submit proof of COVID-19 vaccination or undergo weekly COVID-19 testing by 9/5/2021. All healthcare workers in the state must provide proof of COVID-19 vaccination effective 9/27/2021. All K-12 teachers and staff must submit to weekly testing with an opt out for those who are fully vaccinated, effective 9/2/21.","No",""
"North Carolina","Yes","State employees must provide proof of vaccination or undergo testing on a weekly basis and wear a mask while at work effective 9/1/2021.","No",""
"North Dakota","No","","Yes","Federal Contractors; Employers with 100+ Employees; Certified Medicare and Medicaid Providers","1"
"Ohio","No","K-12 schools and institutions of higher education cannot mandate a vaccine that has not received full FDA approval.","Yes","Federal Contractors; Employers with 100+ Employees; Certified Medicare and Medicaid Providers"
"Oklahoma","No","","Yes","Federal Contractors; Employers with 100+ Employees; Certified Medicare and Medicaid Providers"
"Oregon","Yes","State employees, healthcare workers, and school employees must be vaccinated against COVID-19 effective 10/18/2021 or 6 weeks after full FDA approval for the vaccine, whichever is later.","No",""
"Pennsylvania","Yes","State employees in healthcare facilities or high-risk congregate settings are required to be vaccinated or undergo weekly testing effective 9/7/2021. For large events, the host can require attendees to be vaccinated to avoid implementing the mask mandate.","No",""
"Rhode Island","Yes","Employees of healthcare facilities must be vaccinated against COVID-19 effective 10/1/2021.","No",""
"South Carolina","No","Prohibits all state agencies in the governor's Cabinet from requiring employees to receive the COVID-19 Vaccine.","Yes","Federal Contractors; Employers with 100+ Employees; Certified Medicare and Medicaid Providers"
"South Dakota","Prohibited","No person who works in state agency and/or executive branch entity may be required to receive a Covid-19 vaccination if the person submits an accommodation notification to the state Bureau of Human Resources or the person's respective HR department .","Yes","Federal Contractors; Employers with 100+ Employees; Certified Medicare and Medicaid Providers","1"
"Tennessee","Prohibited","Government entities may not enact a policy that would require individuals to be vaccinated against COVID-19. Also prohibits government entities and private businesses from requiring proof of vaccination as a condition to enter a business or utilize services.","Yes","Federal Contractors; Employers with 100+ Employees"
"Texas","Prohibited","No entity in Texas can compel receipt of a COVID-19 vaccine by any individual, including an employee or a consumer, who objects to such vaccination for any reason of personal conscience, based on a religious belief, or for medical reasons, including prior recovery from COVID-19.","Yes","Federal Contractors; Employers with 100+ Employees; Certified Medicare and Medicaid Providers"
"Utah","Prohibited","An employer who requires an employee or prospective employee to receive or show proof that the employee or prospective employee has received a COVID-19 vaccine shall relieve the employee or prospective employee of the requirement if the employee or prospective employee submits an exemption.","Yes","Federal Contractors; Employers with 100+ Employees; Certified Medicare and Medicaid Providers"
"Vermont","Yes","Effective September 15, all State of Vermont executive branch employees will be required to attest they are vaccinated or be subject to at least weekly testing and mandatory masking at work.","No",""
"Virginia","Yes","State employees are required to provide proof of COVID-19 vaccination or undergo weekly testing for COVID-19 effective 9/1/2021.","No",""
"Washington","Yes","State executive branch employees and on-site contractors and volunteers, along with public and private health care and long-term care workers; and any worker in educational settings must be fully vaccinated against COVID-19 by 10/18/21","No",""
"West Virginia","No","A covered employer that requires as a condition of continued employment or as a condition of hiring an individual for employment that such person receive a COVID-19 immunization or present documentation of immunization from COVID-19, shall exempt current or prospective employees from such immunization requirements upon the presentation of medical and/or religious exepmption certificate. (Effective 01/18/22)","Yes","Federal Contractors; Employers with 100+ Employees; Certified Medicare and Medicaid Providers"
"Wisconsin","No","","No",""
"Wyoming","No","","Yes","Federal Contractors; Employers with 100+ Employees; Certified Medicare and Medicaid Providers","1"

Footnotes
"1. Vaccine mandate for health workers temporarily blocked by federal judge."
"2. Vaccine mandate for staff at healthcare settings and detention facilities and other for college studnets has expired and is no longer in place."

